AUSTRALIAN BUREAU OF STATISTICS  2011 Census of Population and Housing,,,,,,,,List of tables
Australian Capital Territory (8) 2358 sq Kms,,,,,,,,Find out more:
,,,,,,,,Country of Birth of Person
P10 COUNTRY OF BIRTH OF PERSON(a) BY YEAR OF ARRIVAL IN AUSTRALIA (2 of 2),,,,,,,,Year of Arrival in Australia
Count of persons born overseas(b) (excludes overseas visitors),,,,,,,,
,,,,,,,,
,,,,,,,,
,Year of arrival,,,,,,,
,,,,,,,,
,2006,2007,2008,2009,2010,2011(c),Not stated,Total
,,,,,,,,
Bosnia and Herzegovina,0,0,0,6,3,0,4,349
Cambodia,8,12,16,13,22,18,8,326
Canada,42,16,35,57,66,32,51,"1,081"
China (excl. SARs and Taiwan)(d),345,468,628,708,634,328,281,"6,583"
Croatia,0,11,3,3,0,4,48,"1,463"
Egypt,6,15,13,0,4,3,15,310
Fiji,21,22,38,46,31,15,26,810
Former Yugoslav Republic of Macedonia (FYROM),11,7,0,8,0,0,10,381
Germany,32,35,30,37,45,35,75,"2,289"
Greece,4,3,3,4,3,9,45,"1,057"
Hong Kong (SAR of China)(d),28,47,38,47,36,14,55,"1,391"
India,326,435,505,676,346,223,200,"5,929"
Indonesia,28,43,58,93,149,87,35,"1,016"
Iraq,27,15,39,24,24,7,11,322
Ireland,12,13,23,35,48,54,42,848
Italy,4,15,3,17,18,3,103,"2,016"
Japan,35,34,30,37,30,29,34,668
"Korea, Republic of (South)",65,107,116,134,104,103,89,"1,555"
Lebanon,7,11,17,5,8,0,12,391
Malaysia,41,60,84,159,118,105,82,"2,196"
Malta,0,7,4,0,0,4,12,302
Netherlands,7,9,14,13,11,10,28,"1,089"
New Zealand,98,78,116,132,208,121,214,"4,436"
Philippines,95,116,165,176,123,102,91,"2,439"
Poland,13,5,11,8,6,4,35,"1,020"
Singapore,23,27,52,66,76,57,26,926
South Africa,55,78,119,76,126,104,73,"1,652"
"South Eastern Europe, nfd(e)",3,0,3,0,0,0,11,350
Sri Lanka,84,96,116,153,113,61,74,"2,271"
Thailand,48,53,58,84,56,38,37,"1,031"
Turkey,5,9,3,11,10,0,14,219
"United Kingdom, Channel Islands and Isle of Man(f)",201,206,243,311,253,201,636,"16,047"
United States of America,80,82,99,129,171,115,80,"2,401"
Vietnam,74,80,103,123,132,72,119,"2,980"
Born elsewhere(g),618,711,781,943,933,656,655,"18,148"
,,,,,,,,
Total,"2,446","2,926","3,566","4,334","3,907","2,614","3,331","86,292"
,,,,,,,,
This table is based on place of enumeration.,,,,,,,,
(a) This list of countries consists of the most common Country of Birth responses (excluding Australia) reported in the 2006 Census. ,,,,,,,,
(b) Excludes persons who did not state their country of birth. ,,,,,,,,
(c) The year 2011 is the period 1 January 2011 to 9 August 2011. ,,,,,,,,
(d) Special Administrative Regions (SARs) comprise 'Hong Kong (SAR of China)' and 'Macau (SAR of China)'. ,,,,,,,,
(e) Includes persons who stated their birthplace as Yugoslavia.,,,,,,,,
"(f) Comprises 'United Kingdom, Channel Islands and Isle of Man, nfd', 'England', 'Isle of Man', 'Northern Ireland', 'Scotland', 'Wales', 'Guernsey' and 'Jersey'.",,,,,,,,
"(g) Includes countries not identified individually, 'Australian External Territories', 'Inadequately described' and 'At sea'.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
